epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.58932,1.58848,2.86504,1.26993,0.43866,0.40541,0.31461,0.15681,1.38045,2.48884,1.12212,0.00065812,0.00065812,0.00065812
2,16.2412,1.68058,1.92495,1.34241,0.74113,0.61908,0.73287,0.32469,1.78383,2.09057,1.40951,0.001292,0.001292,0.001292
3,22.5935,1.73661,1.88792,1.35767,0.64952,0.67568,0.68525,0.38261,1.5248,1.76484,1.21345,0.00189288,0.00189288,0.00189288
4,28.6384,1.69486,1.70385,1.36698,0.7813,0.72973,0.78116,0.38166,1.62044,1.69686,1.1998,0.0018515,0.0018515,0.0018515
5,34.7335,1.63316,1.6408,1.34147,0.9489,0.7027,0.87013,0.45995,1.57843,1.77716,1.22121,0.001802,0.001802,0.001802
6,40.925,1.59463,1.53989,1.30118,0.86402,0.72973,0.82043,0.45102,1.48375,1.68078,1.20699,0.0017525,0.0017525,0.0017525
7,47.3059,1.54919,1.4545,1.31663,0.96387,0.86486,0.93283,0.52548,1.3662,1.37346,1.15457,0.001703,0.001703,0.001703
8,53.5738,1.5762,1.39794,1.34962,0.88225,0.81001,0.86667,0.47856,1.4366,1.41383,1.20567,0.0016535,0.0016535,0.0016535
9,60.2755,1.5349,1.36378,1.28911,0.88594,0.83977,0.93787,0.51232,1.4061,1.16742,1.18796,0.001604,0.001604,0.001604
10,66.7111,1.51129,1.27341,1.29551,0.91987,0.93096,0.94053,0.53004,1.41805,1.07024,1.18064,0.0015545,0.0015545,0.0015545
11,73.2241,1.51589,1.22576,1.27938,0.91498,0.87278,0.93365,0.54044,1.43157,0.95294,1.21459,0.001505,0.001505,0.001505
12,79.7189,1.5165,1.22154,1.33305,0.93595,0.86486,0.93416,0.54468,1.32213,0.97564,1.11698,0.0014555,0.0014555,0.0014555
13,86.2985,1.45604,1.15816,1.23995,0.91335,0.91892,0.96111,0.53687,1.31953,0.9858,1.13378,0.001406,0.001406,0.001406
14,93.2493,1.50449,1.15145,1.27651,0.93562,0.89189,0.95971,0.54925,1.26885,0.8891,1.09644,0.0013565,0.0013565,0.0013565
15,99.8383,1.40499,1.13236,1.25425,0.92279,0.96913,0.9602,0.55566,1.34575,0.90196,1.15338,0.001307,0.001307,0.001307
16,106.545,1.40261,1.05415,1.20505,0.89699,0.9415,0.94893,0.54126,1.39712,0.91787,1.12051,0.0012575,0.0012575,0.0012575
17,112.826,1.43845,1.03627,1.23236,0.9726,0.95944,0.98966,0.57046,1.39674,0.81087,1.14165,0.001208,0.001208,0.001208
18,119.269,1.48361,1.0251,1.2641,0.99362,0.94595,0.99063,0.53515,1.45174,0.82505,1.19056,0.0011585,0.0011585,0.0011585
19,125.911,1.3504,1.02791,1.22348,0.92586,0.86486,0.95109,0.51823,1.47638,0.84647,1.1543,0.001109,0.001109,0.001109
20,132.669,1.36165,1.00473,1.20614,0.95282,0.89189,0.9492,0.57756,1.34218,0.86056,1.07959,0.0010595,0.0010595,0.0010595
